word,importance_score,method,label
Amsterdam ,0.011496110731968656,SHAP,surprise
And ,0.0018456436736047628,SHAP,surprise
Another ,0.019847352465149015,SHAP,surprise
Any ,-0.005990496894810349,SHAP,surprise
Anyway,0.005420484352119577,SHAP,surprise
Apparently ,0.014630389057856519,SHAP,surprise
Apple,-0.0007955725692833463,SHAP,surprise
Are ,0.0886558679000397,SHAP,surprise
Area ,0.008811629144474864,SHAP,surprise
Arizona ,0.007626543389051221,SHAP,surprise
Arrested ,0.005181851956876926,SHAP,surprise
As ,0.002428409414964595,SHAP,surprise
Ash,0.0038085144478827715,SHAP,surprise
Asian ,0.003933582513127476,SHAP,surprise
Ask ,-0.0159620423510205,SHAP,surprise
At ,0.0034779544148477726,SHAP,surprise
Ate ,0.04084024461917579,SHAP,surprise
Australia,3.8641572852308515e-05,SHAP,surprise
Aw,0.018916914064902812,SHAP,surprise
Aw ,0.2168353812303394,SHAP,surprise
Awesome ,-0.011767835734644905,SHAP,surprise
B,-0.0004803050639263044,SHAP,surprise
BB,0.00019872264238074422,SHAP,surprise
BBC ,0.0034582251828396693,SHAP,surprise
BE ,0.006747039209585637,SHAP,surprise
BECAUSE ,0.008739055134356022,SHAP,surprise
BF,0.00047720345416261506,SHAP,surprise
BI ,-8.080799307208508e-05,SHAP,surprise
BOYS ,-0.0029308024095371366,SHAP,surprise
BROWN ,0.017841942346422,SHAP,surprise
Babylon ,-0.0012963687622686848,SHAP,surprise
Bae❤️,0.06354562568594702,SHAP,surprise
Ball ,-0.002026909467531368,SHAP,surprise
Based ,0.006240058457478881,SHAP,surprise
Bay ,0.00649390509352088,SHAP,surprise
Beach ,-0.003862675090203993,SHAP,surprise
Beauty ,0.015562218322884291,SHAP,surprise
Because ,0.013109575007547392,SHAP,surprise
Bedside ,-0.001591028762049973,SHAP,surprise
Bee ,-0.002886060668970458,SHAP,surprise
Been ,0.05293126020114869,SHAP,surprise
Behavior ,0.0018597782036522403,SHAP,surprise
Being ,-0.00937912066001445,SHAP,surprise
Besides,0.007997629785677418,SHAP,surprise
Best ,-0.019114470545900986,SHAP,surprise
Better ,-0.012830281048081815,SHAP,surprise
Big ,-0.0005023897101636976,SHAP,surprise
Blind ,0.008732345333555713,SHAP,surprise
Boom,0.05289733814424835,SHAP,surprise
Boston ,-0.0043259273952571675,SHAP,surprise
Both ,-0.0021876981627428904,SHAP,surprise
Br,-0.004549346951534972,SHAP,surprise
Bra,-0.010445489671838004,SHAP,surprise
Brave ,-0.029671677941223606,SHAP,surprise
Brian,-0.0010954088356811553,SHAP,surprise
Bridge,-0.0068434643326327205,SHAP,surprise
Brit,0.009493652993114665,SHAP,surprise
British ,0.008601344685303047,SHAP,surprise
Bro,-0.025031028548255563,SHAP,surprise
Brooklyn,0.0016440221515949816,SHAP,surprise
Brooklyn ,-0.006561024914844893,SHAP,surprise
Brussels ,-0.009160935864201747,SHAP,surprise
Bt,0.0007826039412369331,SHAP,surprise
Bulls ,0.004536833323072642,SHAP,surprise
Buster,0.0005840056401211768,SHAP,surprise
But ,0.017746420818285615,SHAP,surprise
C ,-0.0033860429393826053,SHAP,surprise
CBC,0.006564035109477118,SHAP,surprise
COOKIE ,0.0012440609280019999,SHAP,surprise
COW,0.025522332565742545,SHAP,surprise
CP,-0.009467715946292239,SHAP,surprise
CRAB ,-0.0006026912233210169,SHAP,surprise
Cake,-0.0055930224698386155,SHAP,surprise
California,0.002355889155296609,SHAP,surprise
Calm ,0.004030998214147985,SHAP,surprise
Can,0.06844472435962719,SHAP,surprise
Can ,0.06569060268520843,SHAP,surprise
Canada ,0.0019406041174079292,SHAP,surprise
Careful,0.0011899576056748629,SHAP,surprise
Case ,-0.000596707034856081,SHAP,surprise
Catch ,-0.004096362681593746,SHAP,surprise
Cats,-0.0010828427693923004,SHAP,surprise
Celtics ,0.008848139565088786,SHAP,surprise
Chan,0.0027066270510355634,SHAP,surprise
Chicken ,0.012784631879185326,SHAP,surprise
Chill ,0.03693040175130591,SHAP,surprise
China,0.003546570334583521,SHAP,surprise
Christmas ,0.005851121473824605,SHAP,surprise
Civilizations,0.00644393615948502,SHAP,surprise
Clean ,-0.007192581484559923,SHAP,surprise
Coach ,0.03189547070360277,SHAP,surprise
Colts ,0.0008044998976401985,SHAP,surprise
Come ,-0.007652185192758528,SHAP,surprise
Cong,0.005825856365845539,SHAP,surprise
Congress ,0.006591696001123637,SHAP,surprise
Cool,-0.004116201042456345,SHAP,surprise
Could ,0.022256007279793266,SHAP,surprise
County,0.013784015834971797,SHAP,surprise
Coyotes ,0.0085246181988623,SHAP,surprise
Crazy ,0.09133872858365066,SHAP,surprise
Crimson,0.0012780747638316825,SHAP,surprise
Cs ,-0.00759927011677064,SHAP,surprise
Cut ,-0.015207318647298962,SHAP,surprise
D,0.0035463383818361244,SHAP,surprise
D ,0.0003808420697168913,SHAP,surprise
DC ,-0.000347016379237175,SHAP,surprise
DESERVE ,0.015942854282911867,SHAP,surprise
DIT,-0.0019982833982794546,SHAP,surprise
DON,-0.0026403043302707374,SHAP,surprise
DT ,0.002062216226477176,SHAP,surprise
Dallas ,-0.013082383768050931,SHAP,surprise
Damn,-0.048180750105530024,SHAP,surprise
Damn ,0.005874310247600078,SHAP,surprise
Dave ,-0.0012488678039517254,SHAP,surprise
Day ,0.0008165310670544084,SHAP,surprise
De,-0.0034980759204093674,SHAP,surprise
Dear ,-0.04398565036535729,SHAP,surprise
Define ,-0.005184948036912829,SHAP,surprise
Definitely,0.004120214415403704,SHAP,surprise
Deluxe ,-0.008292492726468481,SHAP,surprise
Dem,0.006666993343969807,SHAP,surprise
Democrats ,0.004709746972366702,SHAP,surprise
Demolition ,0.002409529841841302,SHAP,surprise
Desperate ,-0.019673610940420378,SHAP,surprise
Detroit,0.004572720485157333,SHAP,surprise
Detroit ,0.03127912123454735,SHAP,surprise
Development,-0.004970734415110201,SHAP,surprise
Did ,0.08158399063788238,SHAP,surprise
Didn,0.020902955131532508,SHAP,surprise
Do,-0.013508657768397825,SHAP,surprise
Do ,0.047271738163544796,SHAP,surprise
Does ,0.09272162815614138,SHAP,surprise
Doesn,0.0030514709008760597,SHAP,surprise
Dog,-0.0023241559315162396,SHAP,surprise
Dog ,0.01902741866069846,SHAP,surprise
Don,-0.008172324849982504,SHAP,surprise
Donald,-0.0003578075848054141,SHAP,surprise
Drugs ,0.008834298569126986,SHAP,surprise
Dude ,-0.008498327243917933,SHAP,surprise
E,0.028421394737961236,SHAP,surprise
E ,0.003122756713613247,SHAP,surprise
EF,-0.00035140084219165146,SHAP,surprise
EN,0.001194115119142225,SHAP,surprise
EU ,0.0008986409278198455,SHAP,surprise
EVER ,-0.004380597107228823,SHAP,surprise
EXIST,0.00033996041165664783,SHAP,surprise
Ea,0.0012780747638316825,SHAP,surprise
Earth,0.005340350704500452,SHAP,surprise
Edit,0.005787105532363057,SHAP,surprise
Edit ,-0.0009001806419941464,SHAP,surprise
Eh,-0.002149075546185486,SHAP,surprise
Emotionally,0.0037997649633325636,SHAP,surprise
En,9.756583798055846e-05,SHAP,surprise
End ,-0.032099679636303335,SHAP,surprise
English ,0.00027944688877647026,SHAP,surprise
Equally,0.005400816754748424,SHAP,surprise
Especially ,0.003105189149209764,SHAP,surprise
Este,-0.001312526233959943,SHAP,surprise
Europe,0.003784556538448669,SHAP,surprise
Europe ,-0.012279302609385923,SHAP,surprise
Even ,0.005023832481432085,SHAP,surprise
Every ,0.0007732880840194412,SHAP,surprise
Everybody ,0.009220606181770563,SHAP,surprise
Everyone,-0.012674977515416685,SHAP,surprise
Everything ,0.028463535010814667,SHAP,surprise
Exactly,0.0003486092609819025,SHAP,surprise
Excellent ,-0.009970130049623549,SHAP,surprise
Except ,0.0198270708497148,SHAP,surprise
F,-0.002485626476603405,SHAP,surprise
F ,-0.0013520817883545533,SHAP,surprise
FAULT ,0.026402270392281935,SHAP,surprise
FEEL,-0.0032911563612287864,SHAP,surprise
FFIN ,-0.001760466671839822,SHAP,surprise
FIRED ,0.009554733653203584,SHAP,surprise
FP ,0.004211763040802907,SHAP,surprise
Facebook ,0.008446797975921072,SHAP,surprise
Fair ,0.002809688970349574,SHAP,surprise
Fake ,0.0013974105822853744,SHAP,surprise
Fame ,0.0030687383041367866,SHAP,surprise
Famous ,0.0011629482614807785,SHAP,surprise
Fans ,-0.004813401537830941,SHAP,surprise
Far,0.0018197682511527091,SHAP,surprise
Far ,0.0033712447329889983,SHAP,surprise
Fingerprints ,0.0015975453061400913,SHAP,surprise
Flu,-0.00985111220749483,SHAP,surprise
Fm,0.0059489625273272395,SHAP,surprise
Follow ,-0.002210113685578108,SHAP,surprise
For ,-0.03928593003365677,SHAP,surprise
Former ,0.05766617984045297,SHAP,surprise
Fort,-0.0017838724500810108,SHAP,surprise
Found ,0.0066935004433617,SHAP,surprise
Four ,1.626851735636592e-05,SHAP,surprise
From ,-0.004616842881659977,SHAP,surprise
Fuck ,0.012842223877669312,SHAP,surprise
Full ,-0.0007350351515924558,SHAP,surprise
Fun ,0.002567956573329866,SHAP,surprise
Funny ,-0.00726327279699035,SHAP,surprise
G,0.002062216226477176,SHAP,surprise
G ,0.0008742153140095374,SHAP,surprise
GANGSTER,-0.028286137930990662,SHAP,surprise
GH,-0.002031359101238195,SHAP,surprise
GM ,0.0027006960153812543,SHAP,surprise
GO,-0.0008459021482849494,SHAP,surprise
GONE ,0.027545550939976238,SHAP,surprise
GONNA ,0.0146822766342666,SHAP,surprise
GUN ,0.013753330997133162,SHAP,surprise
Ga,-0.003976950130891055,SHAP,surprise
Georgia,0.028046822757460177,SHAP,surprise
Get ,-0.024816443990857806,SHAP,surprise
Gets ,-0.01796918921172619,SHAP,surprise
Getting ,0.0006896434715599753,SHAP,surprise
Giant ,0.0069247274223016575,SHAP,surprise
Gill,-2.86052527371794e-05,SHAP,surprise
Girl ,-0.00402587978169322,SHAP,surprise
Given ,0.0013919783426293482,SHAP,surprise
Gives ,0.0064404036093037575,SHAP,surprise
Glad ,-0.04728909994082642,SHAP,surprise
Go ,-0.013228267744125333,SHAP,surprise
Gonna ,0.01023829192854464,SHAP,surprise
Good ,-0.01710520677443128,SHAP,surprise
Gotta ,0.024172042690527935,SHAP,surprise
Grammar ,0.0021637787964815893,SHAP,surprise
Grant ,-0.0018833467765944079,SHAP,surprise
Grew ,0.03971723496943014,SHAP,surprise
Guess ,0.017489659633914318,SHAP,surprise
H ,-0.0029961772670503706,SHAP,surprise
HANDS ,0.00230824071331881,SHAP,surprise
HAPPENED,0.14651630226580892,SHAP,surprise
HAVE ,0.003947168304875959,SHAP,surprise
HE ,-0.029913753794971853,SHAP,surprise
HEAD ,0.0038329166709445417,SHAP,surprise
HEAR ,0.006748870917363092,SHAP,surprise
HEY,0.008911260782042518,SHAP,surprise
HH,-0.00952109203353757,SHAP,surprise
HI ,-0.001963596834684722,SHAP,surprise
HIS ,0.0015369221800938249,SHAP,surprise
HO,0.003158168932714034,SHAP,surprise
HR,0.005765380366938189,SHAP,surprise
HR ,0.0003243166647735052,SHAP,surprise
HU,-0.019799343193881214,SHAP,surprise
Ha,-0.01008334157064162,SHAP,surprise
Ha ,-0.010544167525949888,SHAP,surprise
Had ,0.0022953616571612656,SHAP,surprise
Hall ,0.00429172797157662,SHAP,surprise
Happy ,0.004232820268953219,SHAP,surprise
Has ,0.023693155133514665,SHAP,surprise
Have ,0.031052780256868574,SHAP,surprise
Having ,0.001969390723388642,SHAP,surprise
He,-0.0026382059302704876,SHAP,surprise
He ,-0.006183026096550748,SHAP,surprise
Hell,-0.0027578981389524415,SHAP,surprise
Helps ,-0.006695591102470644,SHAP,surprise
Here,0.0011706925494460545,SHAP,surprise
Here ,-0.01756666988876532,SHAP,surprise
Heroin ,0.0011722676135832444,SHAP,surprise
Hey ,0.010233160401791489,SHAP,surprise
Hi,-0.008881881020594543,SHAP,surprise
Hi ,-0.012664118316024542,SHAP,surprise
Higher ,0.01969710737466812,SHAP,surprise
His ,-0.006744892423739657,SHAP,surprise
Hmm,0.004468661732971668,SHAP,surprise
Ho,0.0006812973369960673,SHAP,surprise
Holy ,0.06885434058494866,SHAP,surprise
Honestly,0.012091822412912734,SHAP,surprise
Honestly ,0.0020733152487082407,SHAP,surprise
Honey,-0.0012903651222586632,SHAP,surprise
Hope ,-0.017377369775203988,SHAP,surprise
Hopefully,-0.02397620811825618,SHAP,surprise
Hopefully ,-0.0323491012386512,SHAP,surprise
Hot,-0.01358657988748746,SHAP,surprise
Hot ,-0.006416345888283104,SHAP,surprise
House,-0.005988062815352653,SHAP,surprise
How,0.1095378398313187,SHAP,surprise
How ,0.13941860177978274,SHAP,surprise
However,0.0060136960237286985,SHAP,surprise
However ,-0.013965802423626883,SHAP,surprise
Hs ,-0.0012071160932204553,SHAP,surprise
Human,0.0057661285100039095,SHAP,surprise
Human ,0.0007320605218410492,SHAP,surprise
Humiliation ,-0.02116588069475256,SHAP,surprise
Hybrids,-0.0018020753923337907,SHAP,surprise
I,0.005716478921658563,SHAP,surprise
I ,0.01304075045177739,SHAP,surprise
IA,-0.018760507977276575,SHAP,surprise
IAN,0.02290293903206475,SHAP,surprise
